Condo Age,Number of Rooms,Avg. Area,Price
6.357250993,5,33771.74049,1490539.058
6.480979871,5,28470.70147,1491838.494
6.804016971,3,18092.13036,996771.2482
5.535920946,2,35834.493,1064854.309
5.67760881,4,32339.00628,985749.7874
7.328943583,4,35174.87134,1952622.402
7.068466766,3,40447.01075,1754969.162
5.735499522,3,42601.84262,1122240.364
5.624500144,3,32074.57599,1236931.728
4.374148491,4,10424.41625,966084.4204
4.728804322,4,39662.74187,852268.6717
7.31890726,2,30097.83559,1280669.873
5.95937925,3,50566.6448,1190213.513
5.728201697,4,28742.12595,1123851.141
7.955766597,3,32016.23476,1689120.427
7.174569183,3,45504.20369,1573347.788
6.766853185,3,43152.13958,1696977.663
7.019666733,2,32383.55544,1414286.724
5.064855375,2,49337.53152,755292.1144
6.293585382,2,21397.4486,714706.4289
5.364982406,4,9487.921585,944001.5583
6.483153394,3,31231.5444,1523136.485
6.501686215,3,23182.60485,1422916.811
7.097245831,6,39683.438,1945618.658
5.488196879,2,69553.98833,1726719.067
6.674070665,5,43204.15762,1051123.833
8.248959366,5,45161.18768,2249122.541
6.798993828,4,44115.98342,1523915.145
4.54230638,3,29981.34654,1039517.534
6.533916122,3,19560.01241,818057.8953
5.233977928,4,43364.42819,1115466.585
5.662286845,2,29568.95886,1258178.804
6.362565275,3,37998.99693,1435423.708
5.975373486,3,34711.78242,1153470.44
8.561761657,2,22367.48207,1425603.495
6.257028601,5,28139.36846,1048350.692
6.467126893,3,24758.48906,1214482.379
4.531777656,2,24056.60447,821859.0657
5.550543628,4,24233.06146,753652.2718
3.992420475,6,40043.10216,1220001.334
6.724123387,5,15255.23776,1075675.108
6.223626136,3,24837.59073,1396082.352
7.826435952,6,18867.78162,1137801.933
5.74650959,2,43146.98202,1159953.593
6.377936931,5,26481.51177,1487849.876
6.408500651,4,32045.55987,1103072.439
5.805732788,3,26202.63146,897291.1153
5.573231808,3,20653.89831,1214320.574
5.761755985,5,37268.26997,1364363.375
5.23965341,3,30231.80829,1249092.928
5.459845342,2,52657.03375,946479.2349
4.692855436,2,44016.14744,1659805.184
6.289993194,4,39075.95638,1285399.565
6.00205394,4,29802.32138,898281.9025
6.291501388,5,27545.52954,1483848.169
7.161865646,2,39754.38814,1353488.416
6.168255827,5,31719.74264,1268703.811
6.299268667,6,26013.68048,1448573.845
6.35533372,3,35091.95553,1343605.8
7.73383489,4,32766.60197,1511537.745
5.940325276,3,40643.07833,1662038.759
6.46969413,3,38128.9837,1166673.195
6.325821835,6,41780.47369,1375633.373
4.458997393,4,47731.01076,839638.461
6.440796383,3,34487.57476,1638265.395
6.493916521,5,40163.97083,1385400.456
4.13269444,3,35589.59472,1153233.241
5.322287408,5,43300.95464,1370178.474
5.562622947,2,36851.38401,1181877.183
5.299694,4,42789.69222,894251.0686
5.890269353,5,37865.64855,1421135.815
5.899946659,4,38440.73729,1028964.474
3.727083933,3,25904.97991,923508.1257
6.327089456,6,32679.18766,1599634.465
5.53968589,5,24721.95904,1369186.07
7.030844864,4,46851.04219,1748782.809
6.381029538,4,25509.06978,1150877.735
5.096643486,5,40785.0273,1110598.755
5.711384515,4,38682.56933,1159207.085
5.7673672,3,49864.46977,1811377.221
5.854378134,4,25222.46242,1267443.398
7.336016031,3,40512.81685,1352547.693
5.778489499,2,44901.85734,599504.0193
4.617497453,4,23999.75522,717213.2688
6.415066656,3,36391.92539,1008712.575
5.483242752,3,36377.83735,1071596.112
6.550682933,4,36913.35067,1397341.856
6.162767487,6,31054.77532,1313304.588
6.370867095,3,41662.08363,2106510.863
4.826564705,3,31756.40564,1306458.906
5.250630616,3,59485.06632,1354928.95
7.309462287,4,39785.62784,1582765.592
6.027445797,3,46520.69219,847155.0413
5.933625869,4,32026.91225,1342245.969
5.281560667,4,42702.40328,1363086.905
5.30217342,6,54167.34162,1275318.562
7.509043842,3,49639.17324,1285923.734
7.424253139,3,51453.26516,1789607.526
4.692580036,2,31638.85497,1196064.33
5.914724659,3,51470.06764,1917583.999
6.85020814,4,30091.11684,1370274.387
5.980419348,3,45160.10161,1677204.246
5.695144684,2,41796.12563,1439714.281
7.186340287,3,21759.50613,1012262.712
4.825804425,3,51712.14409,1511743.129
5.251586751,4,34141.18824,1131154.518
3.786709298,4,25767.8186,764860.4627
6.680451317,2,44682.75733,1681316.362
5.480142489,3,25120.99203,291724.2456
3.994323302,3,28666.77112,1013252.209
4.025767576,4,54130.97595,1194709.628
5.980047679,4,38180.82233,1463003.056
6.5290827,7,24723.27865,1453327.916
6.11384862,3,28067.63161,1291506.386
7.23397367,6,51154.13258,1625508.013
5.76757471,5,24125.87581,566896.2123
4.695568136,4,36655.12894,1468513.244
4.801958518,3,44385.31241,1573105.981
4.128879951,5,49076.75735,968360.5234
7.48094133,3,38022.8382,1309985.887
